省,城市,运营商,DNS服务器,接入方式,操作系统,浏览器,目标IP,目标城市,目标运营商,Label
浙江省,杭州市,中国联通,"221.12.1.227,221.12.33.227",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,122.192.30.1,宿迁市,中国联通,0
广东省,广州市,中国电信,"202.96.128.166,202.96.134.133",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
西藏自治区,拉萨市,中国联通,221.13.65.34,LastMile,Windows 7,Chrome 55.3.2883.1540,123.138.156.1,西安市,中国联通,0
云南省,昆明市,中国联通,221.3.131.12,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,,,,1
安徽省,合肥市,中国联通,58.242.2.2,LastMile,Windows 7,Chrome 55.3.2883.1540,42.236.8.129,郑州市,中国联通,0
福建省,福州市,中国电信,"218.85.157.99,202.101.103.54",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,14.152.71.1,广州市,中国电信,0
甘肃,兰州市,中国电信,"61.178.0.93,202.100.64.68",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,117.34.35.1,西安市,中国电信,0
辽宁省,沈阳市,中国联通,202.96.64.68,LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,218.60.111.1,大连市,中国联通,0
福建省,福州市,中国电信,"218.85.157.99,218.85.152.99",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,14.152.71.1,广州市,中国电信,0
河南省,郑州市,中国移动,"211.138.24.66,211.138.30.66",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,223.99.237.1,济南市,中国移动,0
广西壮族自治区,南宁市,中国铁通,"222.52.118.216,211.98.4.1",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
安徽省,合肥市,中国电信,202.102.213.68,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,116.211.94.1,武汉市,中国电信,0
安徽省,合肥市,中国电信,202.102.192.68,LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,116.211.94.1,武汉市,中国电信,0
广东省,广州市,中国电信,"202.96.128.86,202.96.134.33",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
西藏自治区,拉萨市,中国联通,221.13.65.34,LastMile,Windows 7,Chrome 55.3.2883.1540,123.138.156.1,西安市,中国联通,0
浙江省,杭州市,华数网通,"218.108.248.245,218.108.248.228",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,113.215.18.193,杭州市,,0
河南省,郑州市,中国移动,"211.138.24.66,211.138.30.66",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,223.99.237.1,济南市,中国移动,0
山西省,太原市,教育网,"202.207.240.225,101.7.8.9",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,58.205.217.1,北京市,教育网,0
陕西省,西安市,中国电信,"218.30.19.50,61.134.1.5",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,117.34.35.1,西安市,中国电信,0
天津,天津市,中国联通,"202.99.96.68,114.114.114.114",LastMile,Windows 7,Chrome 31.1650.1761.0,121.18.212.129,保定市,中国联通,0
广西壮族自治区,南宁市,中国铁通,"222.52.118.216,211.98.4.1",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
河南省,郑州市,教育网,"218.198.176.70,218.198.176.73",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,58.205.217.1,北京市,教育网,0
江西省,南昌市,中国电信,"202.101.224.69,202.101.226.69",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
广西壮族自治区,南宁市,中国铁通,"222.52.118.216,211.98.4.1",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
广东省,广州市,中国电信,"202.96.128.86,202.96.128.166",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
云南省,昆明市,中国移动,"211.139.29.150,211.139.29.170",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,183.230.67.1,重庆市,中国移动,0
辽宁省,沈阳市,中国电信,219.148.204.66,LastMile,Windows 7,Chrome 55.3.2883.1540,59.45.173.1,阜新市,中国电信,0
青海,西宁市,中国移动,211.138.75.123,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,183.230.67.1,重庆市,中国移动,0
