时间,总下载时间
2017年05月10日 09:32:00,0.436
2017年05月10日 09:33:35,0.184
2017年05月10日 09:34:18,0.17
2017年05月10日 09:34:30,0.198
2017年05月10日 09:34:48,0.145
2017年05月10日 09:35:17,0.167
2017年05月10日 09:35:33,0.313
2017年05月10日 09:36:11,0.842
2017年05月10日 09:36:19,0.257
2017年05月10日 09:38:32,0.428
2017年05月10日 09:38:40,0.175
2017年05月10日 09:38:52,0.205
2017年05月10日 09:39:33,0.166
2017年05月10日 09:40:02,0.357
2017年05月10日 09:40:28,0.324
2017年05月10日 09:41:28,0.157
2017年05月10日 09:41:34,0.139
2017年05月10日 09:41:46,0.231
2017年05月10日 09:42:38,0.204
2017年05月10日 09:46:26,0.307
2017年05月10日 09:48:08,0.259
2017年05月10日 09:48:55,0.149
2017年05月10日 09:49:11,0.696
2017年05月10日 09:53:00,0.111
2017年05月10日 09:53:06,0.134
2017年05月10日 09:53:07,0.108
2017年05月10日 09:53:12,0.098
2017年05月10日 09:53:18,0.14
2017年05月10日 09:53:51,0.09
2017年05月10日 09:54:20,0.592
2017年05月10日 09:54:35,0.193
2017年05月10日 09:54:53,0.239
2017年05月10日 09:58:02,0.355
2017年05月10日 09:58:45,0.387
2017年05月10日 09:59:19,0.401
2017年05月10日 10:00:32,0.463
2017年05月10日 10:00:35,0.135
2017年05月10日 10:00:52,0.277
2017年05月10日 10:01:18,0.175
2017年05月10日 10:02:18,0.138
2017年05月10日 10:02:25,0.133
2017年05月10日 10:03:00,0.111
2017年05月10日 10:03:23,0.212
2017年05月10日 10:05:08,0.214
2017年05月10日 10:06:12,0.352
2017年05月10日 10:06:48,0.154
2017年05月10日 10:07:05,0.23
2017年05月10日 10:10:05,0.216
2017年05月10日 10:10:40,0.223
2017年05月10日 10:11:54,0.294
2017年05月10日 10:12:10,0.263
2017年05月10日 10:12:37,0.295
2017年05月10日 10:13:39,0.4
2017年05月10日 10:14:18,0.363
2017年05月10日 10:14:41,0.125
2017年05月10日 10:14:43,0.092
2017年05月10日 10:15:06,0.148
2017年05月10日 10:17:38,0.153
2017年05月10日 10:17:55,0.437
2017年05月10日 10:18:09,0.12
2017年05月10日 10:19:22,2.792
2017年05月10日 10:19:26,0.257
2017年05月10日 10:19:44,0.356
2017年05月10日 10:19:45,0.213
2017年05月10日 10:19:47,0.411
2017年05月10日 10:23:20,0.183
2017年05月10日 10:23:47,0.328
2017年05月10日 10:24:11,0.295
2017年05月10日 10:24:48,0.213
2017年05月10日 10:25:54,0.105
2017年05月10日 10:25:56,0.198
2017年05月10日 10:26:19,0.463
2017年05月10日 10:26:26,0.255
2017年05月10日 10:26:48,0.197
2017年05月10日 10:30:01,0.885
2017年05月10日 10:30:10,0.363
2017年05月10日 10:31:08,0.392
2017年05月10日 10:31:22,0.334
2017年05月10日 10:31:28,0.215
2017年05月10日 10:32:15,0.365
2017年05月10日 10:33:17,0.357
2017年05月10日 10:34:07,0.246
2017年05月10日 10:34:15,0.322
2017年05月10日 10:34:25,2.652
2017年05月10日 10:35:15,0.366
2017年05月10日 10:35:29,0.311
2017年05月10日 10:35:34,0.179
2017年05月10日 10:36:55,0.36
2017年05月10日 10:37:19,0.267
2017年05月10日 10:37:35,0.153
2017年05月10日 10:37:59,0.224
2017年05月10日 10:38:08,0.365
2017年05月10日 10:39:35,0.091
2017年05月10日 10:40:17,0.377
2017年05月10日 10:41:03,0.578
2017年05月10日 10:41:37,0.294
2017年05月10日 10:41:53,0.283
2017年05月10日 10:42:27,0.929
2017年05月10日 10:42:31,0.311
2017年05月10日 10:44:49,0.381
2017年05月10日 10:45:23,0.155
2017年05月10日 10:47:16,0.316
2017年05月10日 10:47:53,0.323
2017年05月10日 10:49:10,0.187
2017年05月10日 10:49:24,0.281
2017年05月10日 10:49:47,0.295
2017年05月10日 10:50:27,0.279
2017年05月10日 10:51:05,0.144
2017年05月10日 10:51:55,0.16
2017年05月10日 10:52:43,0.375
2017年05月10日 10:52:50,0.556
2017年05月10日 10:53:22,0.579
2017年05月10日 10:53:38,0.087
2017年05月10日 10:54:20,0.115
2017年05月10日 10:54:30,0.687
2017年05月10日 10:54:47,0.185
2017年05月10日 10:55:21,0.211
2017年05月10日 10:55:35,0.275
2017年05月10日 10:55:43,0.202
2017年05月10日 10:56:16,0.447
2017年05月10日 10:57:05,0.378
